title,heading,content,tokens
Energy recovery ventilation,Methods of transfer,"An ERV is a type of air-to-air heat exchanger that transfers sensible heat as well as latent heat. Because both temperature and moisture are transferred, ERVs are described as total enthalpic devices.  In contrast, a heat recovery ventilator (HRV) can only transfer sensible heat. HRVs can be considered sensible only devices because they only exchange sensible heat.  In other words, all ERVs are HRVs, but not all HRVs are ERVs. It is incorrect to use the terms HRV, AAHX (air-to-air heat exchanger), and ERV interchangeably.During the cooling season, the system works to cool and dehumidify the incoming, outside air. To do this, the system takes the rejected heat and sends it into the exhaust airstream.  Subsequently, this air cools the condenser coil at a lower temperature than if the rejected heat had not entered the exhaust airstream.  During the heating seasons, the system works in reverse.  Instead of discharging the heat into the exhaust airstream, the system draws heat from the exhaust airstream in order to pre-heat the incoming air.  At this stage, the air passes through a primary unit and then into the space being conditioned.  With this type of system, it is normal during the cooling seasons for the exhaust air to be cooler than the ventilation air and, during the heating seasons, warmer than the ventilation air.  It is for this reason the system works efficiently and effectively. The coefficient of performance (COP) will increase as the conditions become more extreme (i.e., more hot and humid for cooling and colder for heating).",349
Energy recovery ventilation,Efficiency,"The efficiency of an ERV system is the ratio of energy transferred between the two air streams compared with the total energy transported through the heat exchanger.With the variety of products on the market, efficiency will vary as well.  Some of these systems have been known to have heat exchange efficiencies as high as 70-80% while others have as low as 50%.  Even though this lower figure is preferable to the basic HVAC system, it is not up to par with the rest of its class.  Studies are being done to increase the heat transfer efficiency to 90%.The use of modern low-cost gas-phase heat exchanger technology will allow for significant improvements in efficiency.  The use of high conductivity porous material is believed to produce an exchange effectiveness in excess of 90%.  By exceeding a 90% effective rate, an improvement of up to five factors in energy loss can be seen.The Home Ventilating Institute (HVI) has developed a standard test for any and all units manufactured within the United States.  Regardless, not all have been tested.  It is imperative to investigate efficiency claims, comparing data produced by HVI as well as that produced by the manufacturer. (Note: all units sold in Canada are placed through the R-2000 program, a standard test synonymous to the HVI test).",272
Energy recovery ventilation,Rotary air-to-air enthalpy wheel,"The rotating wheel heat exchanger is a rotating cylinder filled with an air permeable material, typically polymer, aluminum, or synthetic fiber, providing the large surface area required for the sensible enthalpy transfer. (Enthalpy is a measure of heat.) As the wheel rotates between the supply and exhaust air streams it picks up heat energy and releases it into the colder air stream. The driving force behind the exchange is the difference in temperatures between the opposing air streams (the thermal gradient).
The enthalpy exchange is accomplished through the use of desiccants.  Desiccants transfer moisture through the process of adsorption which is predominately driven by the difference in the partial pressure of vapor within the opposing air-streams.  Typical desiccants consist of silica gel, and molecular sieves.
Enthalpy wheels are the most effective devices to transfer both latent and sensible heat energy. Choice of construction materials for the rotor, most commonly polymer, aluminum, or fiberglass, determines durability.
When using rotary energy recovery devices the two air streams must be adjacent to one another to allow for the local transfer of energy.  Also, there should be special considerations paid in colder climates to avoid wheel frosting. Systems can avoid frosting by modulating wheel speed, preheating the air, or stop/jogging the system.",286
Energy recovery ventilation,Plate heat exchanger,"Fixed plate heat exchangers have no moving parts, and consist of alternating layers of plates that are separated and sealed. Typical flow is cross current and since the majority of plates are solid and non permeable, sensible only transfer is the result.
The tempering of incoming fresh air is done by a heat or energy recovery core.  In this case, the core is made of aluminum or plastic plates.  Humidity levels are adjusted through the transferring of water vapor.  This is done with a rotating wheel either containing a desiccant material or permeable plates.Enthalpy plates were introduced in 2006 by Paul, a special company for ventilation systems for passive houses. A crosscurrent countercurrent air-to-air heat exchanger built with a humidity permeable material.  Polymer fixed-plate countercurrent energy recovery ventilators were introduced in 1998 by Building Performance Equipment (BPE), a residential, commercial, and industrial air-to-air energy recovery manufacturer.  These heat exchangers can be both introduced as a retrofit for increased energy savings and fresh air as well as an alternative to new construction.  In new construction situations, energy recovery will effectively reduce the required heating/cooling capacity of the system.  The percentage of the total energy saved will depend on the efficiency of the device (up to 90% sensible) and the latitude of the building.
Due to the need to use multiple sections, fixed plate energy exchangers are often associated with high pressure drop and larger footprints.  Due to their inability to offer a high amount of latent energy transfer these systems also have a high chance for frosting in colder climates.
The technology patented by Finnish company RecyclingEnergy Int. Corp. is based on a regenerative plate heat exchanger taking advantage of humidity of air by cyclical condensation and evaporation, e.g. latent heat, enabling not only high annual thermal efficiency but also microbe-free plates due to self-cleaning/washing method. Therefore the unit is called an enthalpy recovery ventilator rather than heat or energy recovery ventilator.  Company´s patented LatentHeatPump is based on its enthalpy recovery ventilator having COP of 33 in the summer and 15 in the winter.",465
Desiccant,Summary,"A desiccant is a hygroscopic substance that is used to induce or sustain a state of dryness (desiccation) in its vicinity; it is the opposite of a humectant.  Commonly encountered pre-packaged desiccants are solids that absorb water. Desiccants for specialized purposes may be in forms other than solid, and may work through other principles, such as chemical bonding of water molecules.  They are commonly encountered in foods to retain crispness.  Industrially, desiccants are widely used to control the level of water in gas streams.",126
Desiccant,Types of desiccants,"Although some desiccants are chemically inert, others are extremely reactive and require specialized handling techniques.  The most common desiccant is silica gel, an otherwise inert, nontoxic, water-insoluble white solid.  Tens of thousands of tons are produced annually for this purpose.   Other common desiccants include activated charcoal, calcium sulfate, calcium chloride, and molecular sieves (typically, zeolites). Desiccants may also be categorized by their type, either I,II,III,IV, or V. These types are a function of the shape of the desiccant's moisture sorption isotherm. 
Alcohols and acetones are also dehydrating agents.",150
Desiccant,Performance efficiency,"One measure of desiccant efficiency is the ratio (or percentage) of water storable in the desiccant relative to the mass of desiccant.
Another measure is the residual relative humidity of the air or other fluid being dried.
The performance of any desiccant varies with temperature and both relative humidity and absolute humidity. To some extent, desiccant performance can be precisely described, but most commonly, the final choice of which desiccant best suits a given situation, how much of it to use, and in what form, is made based on testing and practical experience.",123
Desiccant,Colored saturation indicators,"Sometimes a humidity indicator is included in the desiccant to show, by color changes, the degree of water-saturation of the desiccant. One commonly used indicator is cobalt chloride (CoCl2). Anhydrous cobalt chloride is blue.  When it bonds with two water molecules, (CoCl2•2H2O), it turns purple. Further hydration results in the pink hexaaquacobalt(II) chloride complex [Co(H2O)6]Cl2.",111
Desiccant,Applications,"One example of desiccant usage is in the manufacture of insulated windows where zeolite spheroids fill a rectangular spacer tube at the perimeter of the panes of glass. The desiccant helps to prevent the condensation of moisture between the panes. Another use of zeolites is in the ""dryer"" component of refrigeration systems to absorb water carried by the refrigerant, whether residual water left over from the construction of the system, or water released by the degradation of other materials over time.
Bagged desiccants are also commonly used to protect goods in  barrier-sealed shipping containers against moisture damage: rust, corrosion, etc.  Hygroscopic cargo, such as cocoa, coffee, various nuts and grains, and other foods can be particularly susceptible to mold and rot when exposed to condensation and humidity. Because of this, shippers often take measures by deploying desiccants to protect against loss.  Pharmaceutical packaging often includes small packets of desiccant to keep the atmosphere inside the package below critical levels of water vapor.
Desiccants induce dryness in any environment and reduce the amount of moisture present in air. Desiccants come in various forms and have found widespread use in the food, pharmaceuticals, packing, electronics and many manufacturing industries.
Air conditioning systems can be based on desiccants, as drier air feels more comfortable and absorbing water itself removes heat.Desiccants are used in livestock farming, where, for example, new-born piglets are highly susceptible to hypothermia owing to their wetness.",325
Desiccant,Drying of solvents,"Desiccants are also used to remove water from solvents, typically required by chemical reactions that do not tolerate water, e.g., the Grignard reaction. The method generally, though not always, involves mixing the solvent with the solid desiccant.  Studies show that molecular sieves are superior as desiccants relative to chemical drying reagents such as sodium-benzophenone.  Sieves offer the advantages of being safe in air and recyclable.",102
Cleaning agent,Summary,"Cleaning agents or hard-surface cleaners are substances (usually liquids, powders, sprays, or granules) used to remove dirt, including dust, stains, foul odors, and clutter on surfaces. Purposes of cleaning agents include health, beauty, removing offensive odor, and avoiding the spread of dirt and contaminants to oneself and others. Some cleaning agents can kill bacteria (e.g. door handle bacteria, as well as bacteria on worktops and other metallic surfaces) and clean at the same time. Others, called degreasers, contain organic solvents to help dissolve oils and fats.",127
Cleaning agent,Acidic,"Acidic cleaning agents are mainly used for removal of inorganic deposits like scaling. The active ingredients are normally strong mineral acids and chelants. Often, surfactants and corrosion inhibitors are added to the acid.
Hydrochloric acid is a common mineral acid typically used for concrete.  Vinegar can also be used to clean hard surfaces and remove calcium deposits that also helps to maintain our environment bacteria free. Sulphuric acid is used in acidic drain cleaners to unblock clogged pipes by dissolving greases, proteins, and even carbohydrate-containing substances such as toilet tissue.",124
Cleaning agent,Alkaline,"Alkaline cleaning agents contain strong bases like sodium hydroxide or potassium hydroxide. Bleach (pH 12) and ammonia (pH 11) are common alkaline cleaning agents.  Often, dispersants, to prevent redeposition of dissolved dirt, and chelants, to attack rust, are added to the alkaline agent.
Alkaline cleaners can dissolve fats (including grease),  oils, and protein-based substances.",95
Cleaning agent,Scouring agents,"Scouring agents are mixtures of the usual cleaning chemicals (surfactants, water softeners) as well as abrasive powders.  The abrasive powder must be of a uniform particle size.
Particles are usually smaller than 0.05 mm. Pumice, calcium carbonate (limestone, chalk, dolomite), kaolinite, quartz, soapstone or talc are often used as abrasives, i.e. polishing agents.
Special bleaching powders contain compounds that release sodium hypochlorite, the classical household bleaching agent.  These precursor agents include trichloroisocyanuric acid and mixtures of sodium hypochlorite (“chlorinated orthophosphate”).
Examples of notable products include: Ajax, Bar Keepers Friend, Bon Ami, Comet, Vim, Zud, and others.",186
Cleaning agent,Oven cleaners,"Traditional oven cleaners contain sodium hydroxide (lye), solvents, and other ingredients, They work best when used in a slightly-warm (not hot) oven. If used in a self-cleaning oven, the lye can cause permanent damage to the oven.
Some oven cleaners are based on ingredients other than lye. These products must be used in a cold oven. Most new-style oven cleaners can be used in self-cleaning ovens.
One popular oven cleaner brand in the US is ""Easy-Off"", sold by Reckitt Benckiser. Popular choices in the UK include ""Zep Oven Brite"" and ""Mr Muscle Oven Cleaner"".",146
Cleaning agent,All-purpose cleaners,"All-purpose cleansers contain mixtures of anionic and nonionic surfactants, polymeric phosphates or other sequestering agents, solvents, hydrotropic substances, polymeric compounds, corrosion inhibitors, skin-protective agents, and sometimes perfumes and colorants. Aversive agents, such as denatonium, are occasionally added to cleaning products to discourage animals and small children from consuming them.
Some cleaners contain water-soluble organic solvents like glycol ethers and fatty alcohols, which ease the removal of oil, fat and paint. Disinfectant additives include quaternary ammonium compounds, phenol derivatives, terpene alcohols (pine oil), aldehydes, and aldehyde-amine condensation products.
All-purpose cleaners are usually concentrated solutions of surfactants and water softeners, which enhance the behavior of surfactant in hard water. Typical surfactants are alkylbenzene sulfonates, an anionic detergent, and modified fatty alcohols.  A typical water softener is sodium triphosphate.
All-purpose cleansers are effective with most common kinds of dirt. Their dilute solutions are neutral or weakly alkaline, and are safe for use on most surfaces.",268
Cleaning agent,Toilet cleaners / hygiene / deodorant products,"Toilet bowl cleaning often is aimed at removal of calcium carbonate deposits, which are attacked by acids.  Powdered cleaners contain acids that come in the form of solid salts, such as sodium hydrogen sulfate.  Liquid toilet bowl cleaners contain other acids, typically dilute hydrochloric, phosphoric, or formic acids.  These convert the calcium carbonate into salts that are soluble in water or are easily rinsed away.",101
Cleaning agent,Metal cleaners,"Metal cleaners are used for cleaning stainless steel sinks, faucets, metal trim, silverware, etc. These products contain abrasives (e.g., siliceous chalk, diatomaceous earth, alumina) with a particle size < 20 μm. Fatty alcohol or alkylphenol polyglycol ethers with 7-12 ethylene oxide (EO) units are used as surfactants.For ferrous metals, the cleaners contain chelating agents, abrasives, and surfactants.  These agents include citric and phosphoric acids, which are nonaggressive.  Surfactants are usually modified fatty alcohols.  Silver cleaning is a specialty since silver is noble but tends to tarnish via formation of black silver sulfide, which is removable via silver-specific complexants such as thiourea.
Stainless steel, nickel, and chromium cleaners contain lactic, citric, or phosphoric acid. A solvent (mineral spirits) may be added.
Nonferrous metal cleaners contain ammonia, ammonium soaps (ammonium oleate, stearate) and chelating agents (ammonium citrate, oxalate).
For special type of precious metals especially those used for luxury watches and high-end jewelry, special type of cleaning agents are usually used to clean and protect them from the Elements. Some examples of these cleaners include jewelry cleaner from Weiman, watch cleaning solution from HOROCD & even cleaning metal plates from Holland Hallmark.",317
Cleaning agent,Glass cleaners,"Light duty hard surface cleaners are not intended to handle heavy dirt and grease.  Because these products are expected to clean without rinsing and result in a streak-free shine, they contain no salts.  Typical window cleaning items consist of alcohols, either ethanol or isopropanol, and surfactants for dissolving grease.  Other components include small amounts of ammonia as well as dyes and perfumes.These are composed of organic, water-miscible solvent such as isopropyl alcohol and an alkaline detergent. Some glass cleaners also contain a fine, mild abrasive. Most glass cleaners are available as sprays or liquid. They are sprayed directly onto windows, mirrors and other glass surfaces or applied on with a soft cloth and rubbed off using a soft, lint-free duster. A glass cloth ideal for the purpose and soft water to which some methylated spirit or vinegar is added which is an inexpensive glass cleaner.
Silverware can be freed of silver sulfide tarnish with thiourea, and either hydrochloric or sulfuric acid.",224
Cleaning agent,Building facade cleaners,"For acid-resistant building facades, such as brick, acids are typically used.  These include mixtures of phosphoric and hydrofluoric acids as well as surfactants.  For acid-sensitive facades such as concrete, strongly alkaline cleaners are used such as sodium hydroxide and thickeners.  Both types of cleaners require a rinsing and often special care since the solutions are aggressive toward skin.",92
Ammonium nitrate,Summary,"Ammonium nitrate is a chemical compound with the chemical formula NH4NO3. It is a white crystalline salt consisting of ions of ammonium and nitrate. It is highly soluble in water and hygroscopic as a solid, although it does not form hydrates. It is predominantly used in agriculture as a high-nitrogen fertilizer. Global production was estimated at 21.6 million tonnes in 2017.Its other major use is as a component of explosive mixtures used in mining, quarrying, and civil construction. It is the major constituent of ANFO, a popular industrial explosive which accounts for 80% of explosives used in North America; similar formulations have been used in improvised explosive devices. 
Many countries are phasing out its use in consumer applications due to concerns over its potential for misuse. Accidental ammonium nitrate explosions have killed thousands of people since the early 20th century.",189
Ammonium nitrate,Occurrence,"Ammonium nitrate is found as the natural mineral gwihabaite (formerly known as nitrammite) – the ammonium analogue of saltpetre (mineralogical name: niter) – in the driest regions of the Atacama Desert in Chile, often as a crust on the ground or in conjunction with other nitrate, iodate, and halide minerals. Ammonium nitrate was mined there until the Haber–Bosch process made it possible to synthesize nitrates from atmospheric nitrogen, thus rendering nitrate mining obsolete.",119
